NACE Code,Region,Period,Age_class,Seniority_class,Qty_Z0_Days,Qty_Z1_Days,Qty_Z2_Days,Qty_Z3_Days,Qty_P0_Days,Qty_P1_Days,Qty_P2_Days,Qty_P3_Days,Qty_A1_Days,Qty_A2_Days
0,Unknown,01/01/2016,Unknown,Unknown,7,7,9,86,0,0,0,0,0,0
0,Unknown,01/01/2017,Unknown,Unknown,11,11,0,88,0,0,0,0,0,0
0,Unknown,01/01/2018,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/02/2016,Unknown,Unknown,0,0,12,63,0,0,0,0,0,0
0,Unknown,01/02/2017,Unknown,Unknown,11,11,6,80,0,0,0,0,0,0
0,Unknown,01/02/2018,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/03/2016,Unknown,Unknown,13,13,12,92,0,0,0,0,0,0
0,Unknown,01/03/2017,Unknown,Unknown,1,1,18,92,0,0,0,0,0,0
0,Unknown,01/03/2018,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/04/2016,Unknown,Unknown,4,4,0,86,0,0,0,0,0,0
0,Unknown,01/04/2017,Unknown,Unknown,3,3,16,80,0,0,0,0,0,0
0,Unknown,01/05/2016,Unknown,Unknown,2,2,0,88,0,0,0,0,0,0
0,Unknown,01/05/2017,Unknown,Unknown,3,3,16,88,0,0,0,0,0,0
0,Unknown,01/06/2016,Unknown,Unknown,0,0,0,88,0,0,0,0,0,0
0,Unknown,01/06/2017,Unknown,Unknown,3,3,0,88,0,0,0,0,0,0
0,Unknown,01/07/2016,Unknown,Unknown,3,3,0,84,0,0,0,0,0,0
0,Unknown,01/07/2017,Unknown,Unknown,0,0,0,63,0,0,0,0,0,0
0,Unknown,01/08/2016,Unknown,Unknown,5,5,0,92,0,0,0,0,0,0
0,Unknown,01/08/2017,Unknown,Unknown,0,0,0,69,0,0,0,0,0,0
0,Unknown,01/09/2016,Unknown,Unknown,1,1,0,88,0,0,0,0,0,0
0,Unknown,01/09/2017,Unknown,Unknown,0,0,0,64,0,0,0,0,0,0
0,Unknown,01/10/2016,Unknown,Unknown,1,1,0,86,0,0,0,0,0,0
0,Unknown,01/10/2017,Unknown,Unknown,0,0,0,66,0,0,0,0,0,0
0,Unknown,01/11/2016,Unknown,Unknown,3,3,0,85,0,0,0,0,0,0
0,Unknown,01/11/2017,Unknown,Unknown,15,15,0,66,0,0,0,0,0,0
0,Unknown,01/12/2016,Unknown,Unknown,3,3,0,88,0,0,0,0,0,0
0,Unknown,01/12/2017,Unknown,Unknown,6,6,8,63,0,0,0,0,0,0
10720,Région Wallonne,01/01/2017,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/01/2017,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/01/2018,20-25,<6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/01/2018,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/01/2018,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/02/2017,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/02/2017,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/02/2018,20-25,<6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/02/2018,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/02/2018,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/03/2017,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/03/2017,40-50,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/03/2017,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/03/2018,20-25,<6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/03/2018,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/03/2018,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/04/2016,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/04/2017,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/04/2017,40-50,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/04/2017,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/05/2016,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/05/2017,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/05/2017,40-50,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/05/2017,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/06/2016,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/06/2016,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/06/2017,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/06/2017,40-50,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/06/2017,50+,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/07/2016,30-40,>6_years,0,0,0,0,0,0,0,0,0,0
10720,Région Wallonne,01/07/2016,50+,>6_years,0,0,0,0,0,0,0,0,0,0
