NACE Code,Region,Period,Age_class,Seniority_class,Freq_Z0_Days,Freq_Z1_Days,Freq_Z2_Days,Freq_Z3_Days,Freq_P0_Days,Freq_P1_Days,Freq_P2_Days,Freq_P3_Days,Freq_A1_Days,Freq_A2_Days
0,Unknown,01/01/2016,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/01/2017,Unknown,Unknown,2,2,0,0,0,0,0,0,0,0
0,Unknown,01/01/2018,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/02/2016,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/02/2017,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/02/2018,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/03/2016,Unknown,Unknown,2,2,0,0,0,0,0,0,0,0
0,Unknown,01/03/2017,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/03/2018,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/04/2016,Unknown,Unknown,2,2,0,0,0,0,0,0,0,0
0,Unknown,01/04/2017,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/05/2016,Unknown,Unknown,2,2,0,0,0,0,0,0,0,0
0,Unknown,01/05/2017,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/06/2016,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/06/2017,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/07/2016,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/07/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/08/2016,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/08/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/09/2016,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
0,Unknown,01/09/2017,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0
0,Unknown,01/10/2016,Unknown,Unknown,1,1,0,0,0,0,0,0,0,0
