Period,FDCP,Gross Salary
2016-03-06,9443|1|1|39933,87.68
2016-03-06,9443|1|1|39934,62.63
2016-03-06,9443|1|1|40061,100.2
2016-03-06,9443|1|1|40072,181.94
2016-03-06,9443|1|1|40078,200.4
2016-03-06,9443|1|1|40083,175.35
2016-03-06,9443|1|1|40085,178.23
2016-03-06,9443|1|1|40088,21.91
2016-03-06,9443|1|1|40095,347.7
2016-03-06,9443|1|1|40097,183.0
2016-03-06,9443|1|1|40099,501.0
2016-03-06,9443|1|1|40103,150.31
2016-03-06,9443|1|1|40105,200.4
2016-03-06,9443|1|1|40109,200.4
2016-03-06,9443|1|1|40111,100.2
2016-03-06,9443|1|1|40113,232.63
2016-03-06,9443|1|1|40115,175.35
2016-03-06,9443|1|1|40116,0.0
2016-03-06,9443|1|1|40118,257.35
2016-03-06,9443|1|1|40120,112.73
2016-03-06,9443|1|1|40122,294.34
2016-03-06,9443|1|1|40124,209.42
2016-03-06,9443|1|1|40127,272.92
2016-03-06,9443|1|1|40138,175.35
2016-03-06,9443|1|1|40140,150.3
2016-03-06,9443|1|1|40142,12.53
2016-03-06,9443|1|1|40143,12.53
2016-03-06,9443|1|1|40145,35.64
2016-03-06,9443|1|1|40149,263.03
2016-03-06,9443|1|1|40151,66.78
2016-03-06,9443|1|1|40152,66.78
2016-03-06,9443|1|1|40154,369.49
2016-03-06,9443|1|1|40159,91.27
2016-03-06,9443|1|1|40161,120.19
2016-03-06,9443|1|1|40162,227.03
2016-03-06,9443|1|1|40164,309.31
2016-03-06,9443|1|1|40166,86.8
2016-03-06,9443|1|1|40178,369.49
2016-03-06,9443|1|1|40180,269.29
2016-03-06,9443|1|1|40181,425.85
2016-03-06,9443|1|1|40183,256.76
2016-03-06,9443|1|1|40184,0.0
2016-03-06,9443|1|1|40185,101.24
2016-03-06,9443|1|1|40187,421.05
2016-03-06,9443|1|1|40188,38.55
2016-03-06,9443|1|1|40189,99.58
2016-03-06,9443|1|1|40190,97.21
2016-03-06,9443|1|1|40191,77.09
2016-03-06,9443|1|1|40192,38.55
2016-03-06,9443|1|1|40193,228.22
2016-03-06,9443|1|1|40194,411.16
2016-03-06,9443|1|1|40195,97.21
2016-03-06,9443|1|1|40197,162.24
2016-03-06,9443|1|1|40198,97.21
2016-03-06,9443|1|1|40199,385.12
2016-03-06,9443|1|1|40205,108.84
2016-03-06,9443|1|1|40207,108.17
2016-03-06,9443|1|1|40208,228.22
2016-03-06,9443|1|1|40209,202.82
2016-03-06,9443|1|1|40210,254.19
2016-03-06,9443|1|1|40213,75.64
2016-03-06,9443|1|1|40214,222.42
2016-03-06,9443|1|1|40219,423.83
2016-03-06,9443|1|1|40221,423.83
2016-03-06,9443|1|1|40223,411.06
2016-03-06,9443|1|1|40225,213.67
2016-03-06,9443|1|1|40227,313.83000000000004
2016-03-06,9443|1|1|40229,313.83000000000004
2016-03-06,9443|1|1|40232,0.0
2016-03-06,9443|1|1|40233,0.0
2016-03-06,9443|1|1|40235,153.58
2016-03-06,9443|1|1|40237,153.58
2016-03-06,9443|1|1|40239,344.44
2016-03-06,9443|1|1|40257,324.83
2016-03-06,9443|1|1|40258,126.42
2016-03-06,9443|1|1|40260,520.14
2016-03-06,9443|1|1|40262,419.18
2016-03-06,9443|1|1|40264,209.6
2016-03-06,9443|1|1|40265,66.78
